pep_id,Singapore.Serum.Encephalitis.SNIP-TTSH-041-LCL_Day1.20A20G.1
1,-0.4
2,-0.1
3,-0.4
4,1.7
5,-0.3
6,-0.3
7,-0.4
8,-1.1
9,0.7
10,-0.6
11,0.4
12,2
13,2.1
14,-0.8
15,1.8
16,-0.3
17,0.7
18,0.1
19,1.3
20,2.3
21,-0.2
22,-0.4
23,-0.8
24,0.6
25,-0.7
26,-0.4
27,-0.2
28,-0.4
29,-0.9
30,-0.8
31,1.9
32,0
33,-0.1
34,-0.4
35,0.2
36,-0.4
37,1
38,0.7
39,0.8
40,1.7
41,-0.2
42,0.7
43,-1.6
44,0.4
45,-0.5
46,-0.6
47,-0.4
48,-0.8
49,-0.7
50,-0.6
51,-0.8
52,-1.3
53,0.1
54,0.8
55,-0.8
56,-0.2
57,-0.9
58,-0.5
59,-0.5
60,0.3
61,1.3
62,0.1
63,-1.7
64,0.5
65,-0.3
66,0.4
67,-0.3
68,-0.3
69,0.5
70,-1.2
71,0.5
72,-0.7
73,-0.8
74,-0.8
75,-0.1
76,-0.9
77,-0.4
78,0.2
79,0.5
80,-0.4
81,-0.2
82,0.6
83,-1.2
84,-0.9
85,-0.1
86,0.5
87,-1.2
88,-0.7
89,1.4
90,1.1
91,-0.7
92,0.7
93,0.1
94,-0.6
95,0.4
96,2.2
97,0.1
98,0.8
100,-0.9
99,1.6
101,1.2
102,2.7
103,-0.4
104,1
105,1.2
106,-0.4
107,0.2
108,-0.8
109,-0.4
110,0.2
111,-0.8
112,-1.2
113,0.4
114,1
115,-0.6
116,-1
117,1
118,0.8
119,2.4
120,-1.1
121,-1
122,-0.2
123,-0.4
124,-0.1
125,-0.4
126,2.1
127,0.2
128,-0.3
129,1.6
130,-0.4
131,1.4
132,0.2
133,-0.6
134,-0.6
135,1.9
136,-0.3
137,-1
138,1.1
139,0.5
140,-0.6
141,-0.1
142,-0.8
143,0
144,-1.3
145,0.5
146,-0.7
147,1.6
148,-0.4
149,-1.1
150,-0.8
151,0.8
152,1.6
153,2.2
154,-0.3
155,-0.4
156,1.6
157,-0.4
158,0.6
159,0.9
160,0.2
161,-0.3
162,-0.4
163,0.2
164,0.4
165,0.5
166,0.2
167,0.2
168,-0.3
169,1.4
170,-0.4
171,0.5
172,0.2
173,0.2
174,-0.6
175,0.6
176,0.2
177,-1.1
178,-0.5
179,-0.4
180,-0.3
181,-0.4
182,-0.1
183,-0.1
184,-1.1
185,1
186,-1.4
84415,-0.3
84416,0.1
84417,-0.6
84418,1.2
84419,0.7
84420,0.7
84421,-0.5
84422,0.5
84423,-0.1
84424,0.2
84425,1.7
187,-0.8
188,-0.4
189,1
190,0.2
191,0
192,0.6
193,-0.1
194,0.6
195,-0.1
196,0.2
197,-0.4
198,-0.4
199,-0.4
200,0.7
201,0.5
202,0.4
203,-0.8
204,-0.4
205,-0.4
206,-0.8
207,2.1
80388,2.4
80389,148.7
208,0.5
209,-1.3
210,0.1
211,-0.3
212,0.2
213,-0.6
214,-0.4
215,1.6
216,0
217,1.2
218,0.7
219,-1.5
220,-0.6
221,0.3
222,-0.2
223,-1
224,-0.4
225,-0.7
226,-0.4
227,-0.6
228,1.9
229,-0.6
230,1.1
231,-0.4
232,-0.7
233,-0.4
234,-1.1
235,-0.6
236,0.4
237,0.2
238,0.9
239,-0.8
240,0.7
241,0.3
242,0.4
243,-0.3
244,0.1
245,1.5
246,-0.4
247,13.2
248,17.6
249,-0.4
250,-0.7
251,1.2
252,-0.1
253,-1.4
254,-0.8
255,0
256,0.5
257,-1.3
258,-0.7
259,-0.2
260,0.2
261,1.4
262,-0.9
263,1
264,-0.9
265,1
266,-0.8
267,-0.6
268,-0.4
269,1.6
270,0.2
271,0.4
272,-0.8
273,0.2
274,-0.1
275,-0.1
276,0
277,-0.2
278,-0.5
279,-0.5
280,1.1
281,-0.6
282,-0.3
283,-0.8
284,-0.9
285,0.2
286,0.2
287,-1.4
288,0.5
289,0.5
290,-0.9
291,0.2
292,0
293,-0.4
294,-0.6
295,0.9
296,-1.2
297,-0.7
298,0.5
299,-0.7
300,-0.9
301,0.1
302,-0.9
303,0.2
304,0.3
305,1.2
306,0.7
307,-0.5
308,-0.4
309,0.7
310,0
311,0.5
312,-1.3
313,-0.1
314,0.7
315,-0.4
316,-0.7
317,-1
318,0.2
319,0
320,-0.6
321,-0.4
322,-0.3
323,-0.4
324,0.6
325,-0.6
326,-1.5
327,-0.4
328,0.1
329,-0.7
330,-0.1
331,0.1
332,-1.2
333,-0.2
334,0.2
335,0.5
336,1.4
337,-0.2
338,0.4
339,-1.1
340,-0.7
341,-0.5
342,2.5
343,-0.8
344,0.2
345,-0.2
346,-0.1
347,1.2
348,-0.6
349,-0.8
350,0.8
351,0.2
352,0.2
353,0.5
354,-0.6
355,-0.4
356,-0.3
